Depth,Year,Site,Frequency
10,2019,Harrison Cove,30.7253886
20,2019,Harrison Cove,28.31606218
30,2019,Harrison Cove,12.38341969
40,2019,Harrison Cove,6.269430052
50,2019,Harrison Cove,6.943005181
60,2019,Harrison Cove,4.766839378
70,2019,Harrison Cove,3.341968912
80,2019,Harrison Cove,3.549222798
90,2019,Harrison Cove,2.227979275
100,2019,Harrison Cove,1.191709845
110,2019,Harrison Cove,0.284974093
10,2019,Moraine,39.07040957
20,2019,Moraine,31.33916245
30,2019,Moraine,11.94968553
40,2019,Moraine,7.89998466
50,2019,Moraine,3.482129161
60,2019,Moraine,2.377665286
70,2019,Moraine,1.779414021
80,2019,Moraine,1.39591962
90,2019,Moraine,0.506212609
100,2019,Moraine,0.184077312
110,2019,Moraine,0.015339776
