Month,AvgWindhr,Year
10-Sep,2.2125,2020
11-Sep,3.441666667,2020
12-Sep,2.258333333,2020
13-Sep,2.829166667,2020
14-Sep,3.8625,2020
15-Sep,2.945833333,2020
16-Sep,3.3625,2020
17-Sep,3.525,2020
18-Sep,1.516666667,2020
19-Sep,1.5375,2020
20-Sep,2.3625,2020
21-Sep,3.591666667,2020
22-Sep,2.275,2020
23-Sep,2.725,2020
24-Sep,1.8875,2020
25-Sep,1.0125,2020
26-Sep,3.516666667,2020
27-Sep,3.545833333,2020
28-Sep,2.775,2020
29-Sep,1.7125,2020
30-Sep,2.525,2020
1-Oct,1.6875,2020
2-Oct,2.7375,2020
3-Oct,2.041666667,2020
4-Oct,3.083333333,2020
5-Oct,3.358333333,2020
6-Oct,3.558333333,2020
7-Oct,1.995833333,2020
8-Oct,2.358333333,2020
9-Oct,2.008333333,2020
10-Oct,2.004166667,2020
11-Oct,3.8625,2020
12-Oct,2.0375,2020
13-Oct,3.075,2020
14-Oct,2.433333333,2020
15-Oct,3.870833333,2020
10-Sep,2.85,2019
11-Sep,2.454166667,2019
12-Sep,1.641666667,2019
13-Sep,3.158333333,2019
14-Sep,2.470833333,2019
15-Sep,2.295833333,2019
16-Sep,4,2019
17-Sep,2.033333333,2019
18-Sep,1.370833333,2019
19-Sep,2.054166667,2019
20-Sep,3.325,2019
21-Sep,2.145833333,2019
22-Sep,1.425,2019
23-Sep,2.504166667,2019
24-Sep,1.745833333,2019
25-Sep,1.3875,2019
26-Sep,1.3125,2019
27-Sep,2.158333333,2019
28-Sep,4.2375,2019
29-Sep,1.691666667,2019
30-Sep,2.916666667,2019
1-Oct,3.070833333,2019
2-Oct,1.9625,2019
3-Oct,2.745833333,2019
4-Oct,1.408333333,2019
5-Oct,2.645833333,2019
6-Oct,2.933333333,2019
7-Oct,3.745833333,2019
8-Oct,1.2875,2019
9-Oct,1.545833333,2019
10-Oct,1.804166667,2019
11-Oct,2.5875,2019
12-Oct,2.354166667,2019
13-Oct,1.404166667,2019
14-Oct,2.279166667,2019
15-Oct,3.141666667,2019
